Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic,,
22,Pérez,681645,4.96%,0.45%,1.17%,0.20%,0.26%,92.95%,,
52,Phillips,360802,76.69%,17.09%,0.58%,1.03%,2.17%,2.44%,,
56,Parker,336221,69.17%,24.79%,0.54%,0.88%,2.35%,2.26%,,
71,Peterson,278297,84.39%,10.09%,0.66%,0.74%,1.72%,2.40%,,
91,Price,235251,73.93%,20.51%,0.51%,0.66%,2.14%,2.24%,,
95,Patel,229973,2.10%,0.38%,94.78%,0.65%,1.65%,0.44%,,
101,Powell,224874,67.20%,27.12%,0.46%,0.62%,2.29%,2.31%,,
103,Perry,221741,68.32%,25.20%,0.57%,0.81%,2.43%,2.67%,,
117,Patterson,205423,67.27%,26.80%,0.47%,0.68%,2.35%,2.43%,,
159,Porter,163054,68.57%,25.40%,0.55%,0.72%,2.31%,2.45%,,
172,Palmer,156601,75.08%,18.57%,0.55%,0.81%,2.11%,2.87%,,
195,Payne,142601,71.55%,22.63%,0.45%,0.58%,2.37%,2.42%,,
202,Pierce,138629,80.98%,12.86%,0.53%,1.06%,2.10%,2.47%,,
205,Peters,137513,82.86%,10.41%,0.98%,1.33%,1.86%,2.55%,,
223,Perkins,131440,69.45%,24.60%,0.53%,0.73%,2.33%,2.37%,,
227,Peña,130776,5.34%,0.52%,1.09%,0.31%,0.24%,92.50%,,
289,Park,106696,23.34%,0.79%,72.98%,0.16%,1.74%,1.00%,,
293,Padilla,105365,6.15%,0.40%,2.10%,0.79%,0.41%,90.16%,,
308,Pearson,101836,72.14%,22.51%,0.56%,0.41%,2.14%,2.24%,,
336,Powers,91970,89.60%,5.15%,0.65%,0.55%,1.65%,2.39%,,
354,Parks,88586,69.39%,24.91%,0.59%,0.67%,2.38%,2.06%,,
370,Pham,84320,0.90%,0.20%,96.33%,0.03%,1.81%,0.72%,,
383,Page,82992,75.12%,18.93%,0.66%,0.65%,2.02%,2.62%,,
415,Paul,78256,66.99%,20.13%,6.25%,2.05%,1.92%,2.67%,,
419,Pacheco,77642,15.32%,0.57%,1.16%,0.72%,0.81%,81.43%,,
457,Potter,72175,89.07%,5.13%,0.56%,0.78%,1.96%,2.50%,,
496,Person,67411,45.58%,34.51%,4.14%,1.12%,1.78%,12.88%,,
498,Parsons,67310,91.09%,3.60%,0.60%,0.67%,1.75%,2.27%,,
506,Patton,66293,73.05%,20.90%,0.49%,0.88%,2.25%,2.44%,,
528,Pope,63881,70.83%,23.77%,0.47%,0.61%,2.13%,2.19%,,
541,Pratt,61671,78.04%,15.69%,0.62%,1.00%,2.02%,2.63%,,
552,Patrick,60845,73.73%,20.35%,0.73%,1.03%,2.01%,2.15%,,
553,Pineda,60820,3.29%,0.32%,5.28%,0.12%,0.32%,90.67%,,
571,Petersen,58480,93.42%,1.33%,0.76%,0.44%,1.55%,2.51%,,
604,Poole,56226,72.56%,22.71%,0.48%,0.42%,1.97%,1.85%,,
619,Pittman,55021,63.55%,31.31%,0.36%,0.65%,2.14%,1.99%,,
657,Phelps,52044,85.10%,9.68%,0.52%,0.60%,1.82%,2.29%,,
693,Pitts,49740,63.23%,31.35%,0.46%,0.51%,2.33%,2.12%,,
694,Parrish,49733,80.21%,14.18%,0.49%,1.26%,1.84%,2.01%,,
695,Ponce,49549,5.13%,0.38%,2.03%,0.21%,0.36%,91.89%,,
736,Preston,47367,73.18%,20.40%,0.57%,1.05%,2.30%,2.49%,,
743,Prince,47168,66.42%,26.45%,0.71%,0.92%,2.36%,3.14%,,
777,Pruitt,44365,73.19%,21.50%,0.32%,0.71%,2.27%,2.01%,,
789,Palacios,43798,4.28%,0.40%,0.87%,0.15%,0.24%,94.05%,,
846,Pennington,40854,87.86%,7.23%,0.41%,0.53%,1.76%,2.20%,,
864,Peck,40055,90.68%,3.60%,0.90%,0.50%,1.68%,2.64%,,
868,Pace,39879,78.26%,16.49%,0.67%,0.51%,1.71%,2.35%,,
879,Pugh,39559,67.24%,28.07%,0.45%,0.43%,1.98%,1.82%,,
902,Potts,38277,79.56%,14.31%,0.55%,1.32%,1.99%,2.28%,,
914,Portillo,37890,4.13%,0.45%,0.39%,0.17%,0.11%,94.76%,,
918,Phan,37836,1.28%,0.19%,95.83%,0.03%,2.01%,0.65%,,
943,Parra,36765,6.45%,0.30%,0.41%,0.35%,0.20%,92.29%,,
949,Peralta,36585,5.17%,0.42%,7.18%,0.33%,0.88%,86.03%,,
974,Pollard,35749,62.77%,31.39%,0.55%,0.57%,2.40%,2.33%,,
977,Proctor,35636,70.12%,21.55%,0.53%,2.44%,3.11%,2.25%,,
1005,Petty,34882,73.43%,20.99%,0.52%,0.50%,2.16%,2.40%,,
1026,Pierre,33913,7.05%,86.74%,0.31%,0.92%,2.23%,2.75%,,
1108,Pickett,31611,65.61%,29.23%,0.41%,0.48%,2.08%,2.19%,,
1129,Pearce,31060,88.57%,6.19%,0.62%,0.68%,1.74%,2.20%,,
1175,Pereira,29898,57.92%,4.09%,4.97%,0.26%,1.82%,30.93%,,
1208,Pate,29327,80.28%,14.15%,0.88%,0.91%,1.92%,1.85%,,
1254,Pierson,27983,84.30%,10.02%,0.54%,0.48%,2.01%,2.65%,,
1263,Pryor,27805,60.17%,34.03%,0.42%,0.65%,2.69%,2.04%,,
1273,Puckett,27627,89.08%,6.29%,0.52%,0.59%,1.76%,1.75%,,
1287,Paredes,27274,4.83%,0.33%,3.13%,0.10%,0.33%,91.28%,,
1296,Polk,27094,45.48%,47.96%,0.66%,1.09%,2.46%,2.35%,,
1318,Pike,26655,92.52%,1.86%,0.69%,1.34%,1.36%,2.22%,,
1382,Plummer,25596,68.97%,24.69%,0.44%,1.37%,2.13%,2.41%,,
1384,Paz,25574,7.43%,0.32%,2.98%,0.22%,0.43%,88.62%,,
1397,Padgett,25413,88.68%,6.66%,0.40%,0.56%,1.69%,2.00%,,
1403,Piña,25293,10.37%,4.99%,0.57%,0.78%,0.99%,82.31%,,
1515,Payton,23670,53.59%,39.93%,0.36%,0.86%,2.90%,2.36%,,
1519,Phipps,23610,81.79%,12.53%,0.55%,0.58%,1.87%,2.69%,,
1522,Poe,23563,80.15%,12.52%,2.32%,0.82%,2.15%,2.05%,,
1523,Pritchard,23549,88.65%,6.17%,0.87%,0.39%,1.72%,2.19%,,
1528,Pagan,23474,11.99%,2.07%,0.71%,0.09%,0.54%,84.60%,,
1530,Post,23458,93.77%,1.27%,0.66%,0.70%,1.59%,2.01%,,
1533,Prado,23436,7.29%,0.42%,3.00%,0.15%,0.29%,88.85%,,
1543,Pollock,23310,87.00%,7.12%,0.68%,0.58%,1.46%,3.16%,,
1599,Purcell,22383,86.70%,6.81%,1.34%,0.50%,1.86%,2.79%,,
1607,Piper,22329,86.35%,8.04%,0.68%,0.93%,1.85%,2.15%,,
1641,Painter,21969,94.12%,1.04%,0.66%,0.84%,1.54%,1.79%,,
1659,Peacock,21712,83.59%,10.99%,0.53%,0.78%,1.87%,2.24%,,
1671,Pimentel,21579,19.85%,0.70%,4.21%,0.14%,0.90%,74.21%,,
1687,Pinto,21366,50.01%,2.76%,4.92%,3.15%,1.30%,37.85%,,
1705,Patiño,21113,6.34%,0.27%,0.79%,0.11%,0.28%,92.21%,,
1735,Palma,20636,20.07%,0.80%,5.64%,0.19%,0.78%,72.53%,,
1773,Posey,20263,72.87%,21.85%,0.34%,1.10%,2.12%,1.72%,,
1780,Pedersen,20135,94.35%,0.34%,0.79%,0.47%,1.74%,2.30%,,
1789,Paige,20063,41.68%,52.06%,0.52%,0.37%,3.07%,2.31%,,
1820,Polanco,19688,3.67%,0.73%,0.44%,0.14%,0.17%,94.85%,,
1833,Prieto,19520,7.40%,0.57%,1.37%,0.28%,0.29%,90.09%,,
1839,Prater,19484,81.20%,13.76%,0.41%,0.78%,1.99%,1.86%,,
1849,Penn,19409,50.56%,38.50%,1.80%,1.27%,3.39%,4.49%,,
1856,Pritchett,19334,68.23%,25.17%,0.38%,1.92%,2.30%,2.00%,,
1857,Paulson,19331,94.30%,0.59%,1.08%,0.52%,1.37%,2.15%,,
1892,Pettit,19004,91.15%,2.84%,0.66%,1.12%,1.72%,2.53%,,
1894,Pulido,18942,4.77%,0.22%,3.57%,0.21%,0.43%,90.80%,,
1932,Pack,18678,83.14%,10.27%,1.55%,0.92%,1.70%,2.41%,,
1935,Peoples,18672,38.13%,55.86%,0.28%,0.45%,3.11%,2.16%,,
1968,Presley,18384,75.28%,19.26%,0.49%,0.95%,2.18%,1.84%,,
1971,Putnam,18340,93.78%,1.59%,0.68%,0.46%,1.46%,2.03%,,
2006,Platt,18022,86.57%,7.75%,0.49%,0.55%,2.09%,2.55%,,
2026,Pelletier,17808,95.10%,0.32%,0.55%,0.48%,1.27%,2.29%,,
2033,Paris,17707,75.24%,12.01%,1.65%,0.55%,2.23%,8.33%,,
2134,Prescott,16975,78.20%,14.36%,1.04%,0.85%,2.42%,3.13%,,
2168,Pendleton,16751,72.94%,21.05%,0.66%,0.88%,2.07%,2.41%,,
2177,Purvis,16686,78.95%,16.55%,0.41%,0.34%,1.82%,1.93%,,
2195,Pickens,16577,56.49%,38.03%,0.43%,0.73%,2.40%,1.91%,,
2198,Pappas,16559,94.25%,0.41%,0.68%,0.19%,1.04%,3.43%,,
2211,Perdue,16464,80.50%,14.49%,0.39%,0.63%,2.00%,1.98%,,
2239,Parr,16286,87.69%,4.84%,1.91%,0.68%,2.06%,2.81%,,
2298,Prather,15860,75.04%,19.09%,0.44%,0.92%,2.40%,2.11%,,
2302,Parham,15846,46.40%,47.41%,0.62%,0.42%,2.66%,2.49%,,
2383,Pantoja,15249,3.65%,0.35%,0.66%,0.07%,0.16%,95.13%,,
2389,Pyle,15180,93.11%,1.61%,0.65%,0.63%,1.55%,2.45%,,
2396,Purdy,15126,88.00%,4.97%,1.25%,0.41%,2.70%,2.67%,,
2420,Puente,14966,5.88%,0.23%,0.18%,0.43%,0.13%,93.14%,,
2430,Priest,14915,88.11%,6.11%,0.56%,0.60%,2.02%,2.59%,,
2435,Power,14890,90.50%,3.82%,0.80%,0.52%,1.71%,2.65%,,
2467,Perales,14593,5.84%,0.33%,0.64%,0.12%,0.16%,92.90%,,
2475,Parnell,14560,76.94%,17.32%,0.45%,1.28%,2.01%,2.00%,,
2498,Parish,14466,81.36%,12.15%,0.63%,1.41%,2.14%,2.31%,,
2520,Pederson,14370,94.78%,0.30%,0.62%,0.94%,1.49%,1.87%,,
2601,Pfeiffer,13851,95.15%,0.35%,0.77%,0.27%,1.28%,2.19%,,
2620,Parrott,13753,84.02%,11.34%,0.58%,0.41%,1.74%,1.91%,,
2644,Pruett,13618,91.61%,2.17%,0.59%,0.59%,1.91%,3.12%,,
2653,Pickering,13582,87.56%,6.36%,0.72%,0.86%,1.81%,2.69%,,
2669,Pool,13505,82.89%,7.63%,0.43%,0.76%,1.85%,6.44%,,
2713,Pressley,13281,53.93%,41.60%,0.33%,0.36%,1.90%,1.87%,,
2727,Parson,13209,59.60%,32.46%,0.60%,0.76%,2.66%,3.92%,,
2750,Pringle,13115,54.53%,39.29%,0.52%,0.59%,2.25%,2.82%,,
2751,Padrón,13114,6.02%,0.43%,1.07%,0.21%,0.20%,92.08%,,
2790,Pease,12937,91.41%,2.57%,0.49%,1.73%,1.58%,2.22%,,
2829,Pedraza,12748,4.55%,0.30%,0.58%,0.28%,0.20%,94.09%,,
2839,Parris,12710,66.00%,25.41%,0.54%,1.27%,2.79%,4.00%,,
2847,Pan,12664,2.61%,0.46%,94.02%,0.07%,1.63%,1.22%,,
2883,Preciado,12455,4.18%,0.31%,0.32%,0.25%,0.09%,94.86%,,
2962,Porras,12106,7.24%,0.17%,1.61%,0.40%,0.27%,90.30%,,
2965,Pence,12101,94.89%,0.72%,0.48%,0.52%,1.50%,1.89%,,
2998,Pascual,11959,5.40%,0.36%,37.42%,0.37%,3.06%,53.39%,,
3000,Persaud,11956,10.22%,20.54%,51.83%,3.70%,8.94%,4.77%,,
3044,Ponder,11764,66.66%,28.12%,0.51%,0.51%,2.09%,2.11%,,
3049,Paxton,11754,86.18%,8.09%,0.56%,0.73%,2.14%,2.29%,,
3059,Patten,11730,84.83%,8.90%,1.03%,1.04%,2.19%,2.01%,,
3099,Pulliam,11613,66.49%,27.71%,0.48%,1.02%,2.51%,1.79%,,
3121,Perrin,11550,80.64%,13.87%,0.75%,0.58%,2.33%,1.83%,,
3124,Perea,11546,10.83%,0.42%,1.97%,0.89%,0.36%,85.54%,,
3129,Poindexter,11531,51.49%,41.58%,0.40%,0.95%,3.44%,2.14%,,
3142,Paulino,11500,10.25%,1.38%,7.83%,0.13%,1.40%,79.00%,,
3178,Pepper,11374,89.09%,5.15%,0.71%,0.62%,1.90%,2.53%,,
3207,Pemberton,11272,78.14%,15.03%,0.35%,1.67%,2.05%,2.76%,,
3211,Paulsen,11243,94.45%,0.36%,0.83%,0.71%,1.43%,2.21%,,
3225,Parent,11193,92.70%,1.90%,0.74%,0.89%,1.77%,1.99%,,
3249,Pardo,11104,20.48%,1.52%,1.88%,0.14%,0.51%,75.46%,,
3263,Peek,11062,84.67%,10.11%,0.45%,0.53%,2.00%,2.24%,,
3285,Palumbo,11005,94.91%,0.32%,0.65%,0.05%,0.98%,3.09%,,
3288,Pino,10993,28.27%,1.54%,1.81%,7.28%,0.76%,60.34%,,
3297,Pedroza,10918,4.60%,0.18%,0.33%,0.14%,0.16%,94.59%,,
3308,Pak,10846,3.78%,(S),92.02%,(S),3.10%,0.88%,,
3317,Pauley,10809,92.45%,3.10%,0.44%,0.47%,1.33%,2.20%,,
3335,Plunkett,10758,85.34%,8.47%,1.13%,0.58%,2.13%,2.35%,,
3374,Peng,10575,2.61%,0.38%,76.04%,0.05%,1.24%,19.69%,,
3375,Pichardo,10572,3.42%,0.58%,0.22%,0.21%,0.09%,95.49%,,
3381,Pullen,10565,78.03%,16.79%,0.50%,0.56%,1.86%,2.25%,,
3382,Phelan,10562,92.98%,1.30%,0.64%,0.77%,1.44%,2.87%,,
3383,Parry,10555,90.79%,3.21%,1.15%,0.41%,1.77%,2.67%,,
3420,Páez,10433,6.00%,0.29%,3.04%,0.12%,0.35%,90.19%,,
3434,Poston,10396,84.22%,11.25%,0.52%,0.45%,1.79%,1.76%,,
3455,Paniagua,10340,3.47%,0.18%,0.30%,0.15%,0.12%,95.78%,,
3477,Peyton,10276,75.21%,19.29%,0.71%,0.44%,2.45%,1.90%,,
3485,Penny,10249,71.89%,21.44%,0.60%,0.78%,2.41%,2.88%,,
3533,Pfeifer,10109,94.18%,1.14%,0.63%,0.33%,1.15%,2.57%,,
3548,Perdomo,10058,4.79%,0.51%,0.12%,0.21%,0.20%,94.17%,,
3589,Partridge,9909,87.10%,6.58%,0.66%,0.80%,2.37%,2.49%,,
3637,Parkinson,9767,87.21%,7.87%,0.61%,0.59%,1.59%,2.12%,,
3699,Paquette,9606,95.47%,0.49%,0.44%,0.62%,1.05%,1.93%,,
3733,Packard,9494,91.73%,2.74%,0.73%,1.11%,1.75%,1.95%,,
3747,Poirier,9453,94.29%,0.78%,0.59%,0.56%,1.77%,2.01%,,
3748,Perryman,9443,61.43%,30.26%,0.53%,1.25%,3.08%,3.45%,,
3800,Palomino,9313,6.21%,0.94%,0.25%,0.32%,0.26%,92.02%,,
3847,Proffitt,9202,94.40%,1.78%,0.36%,0.45%,1.49%,1.52%,,
3859,Peter,9191,71.28%,8.01%,12.02%,3.70%,2.08%,2.92%,,
3873,Pitt,9151,65.72%,28.44%,0.69%,0.63%,1.96%,2.56%,,
3924,Putman,9058,87.06%,8.08%,0.56%,0.61%,1.61%,2.08%,,
3928,Pickard,9053,88.61%,6.11%,0.56%,0.53%,1.54%,2.65%,,
3930,Pond,9052,90.97%,2.17%,1.38%,1.16%,1.45%,2.87%,,
3933,Packer,9048,81.81%,13.17%,0.57%,0.55%,1.71%,2.18%,,
3959,Pollack,8977,93.02%,1.85%,0.80%,0.13%,1.02%,3.17%,,
3973,Popp,8947,95.67%,0.37%,0.76%,0.19%,1.02%,1.99%,,
4002,Partida,8878,3.72%,0.18%,0.45%,0.36%,0.17%,95.12%,,
4021,Peebles,8843,67.05%,27.40%,0.45%,0.60%,2.34%,2.16%,,
4022,Peace,8841,70.06%,23.87%,0.58%,0.49%,2.56%,2.45%,,
4062,Provost,8742,84.20%,9.55%,0.40%,1.85%,1.42%,2.57%,,
4076,Peak,8713,77.38%,14.54%,2.30%,0.95%,1.96%,2.87%,,
4079,Plascencia,8710,1.99%,0.08%,0.10%,0.07%,0.07%,97.69%,,
4087,Peterman,8690,90.72%,4.13%,0.61%,0.59%,1.76%,2.19%,,
4089,Pannell,8687,65.42%,28.97%,0.33%,0.55%,2.72%,2.00%,,
4103,Parada,8649,9.21%,0.44%,1.68%,0.27%,0.20%,88.21%,,
4107,Prasad,8638,3.84%,1.54%,78.97%,0.54%,13.21%,1.90%,,
4159,Petrie,8520,91.01%,3.99%,0.45%,0.31%,1.65%,2.59%,,
4171,Paine,8501,90.01%,3.07%,0.96%,0.64%,1.93%,3.39%,,
4186,Pagano,8465,92.17%,0.28%,0.63%,0.18%,0.71%,6.04%,,
4195,Pinkerton,8446,90.99%,3.39%,0.82%,0.96%,1.81%,2.04%,,
4197,Purnell,8441,31.94%,62.22%,0.56%,0.33%,3.10%,1.85%,,
4218,Pelayo,8402,3.44%,0.38%,4.78%,0.20%,0.42%,90.78%,,
4220,Palacio,8400,7.56%,3.62%,5.29%,0.63%,1.26%,81.64%,,
4232,Piazza,8372,92.68%,0.74%,0.68%,0.22%,0.94%,4.74%,,
4234,Prewitt,8371,75.74%,19.47%,0.39%,0.81%,1.72%,1.86%,,
4259,Parisi,8326,93.47%,0.26%,1.04%,0.14%,1.03%,4.05%,,
4287,Partin,8296,93.08%,2.48%,0.46%,0.57%,1.65%,1.76%,,
4292,Pinkston,8291,67.31%,27.56%,0.30%,0.49%,2.06%,2.27%,,
4312,Prosser,8244,88.14%,7.16%,0.55%,0.46%,1.87%,1.83%,,
4315,Poore,8240,91.24%,3.20%,0.63%,0.46%,1.71%,2.75%,,
4348,Palermo,8165,89.42%,0.24%,1.46%,0.20%,0.93%,7.75%,,
4378,Pendergrass,8123,74.22%,20.82%,0.26%,0.94%,1.80%,1.97%,,
4435,Pulley,8007,68.79%,25.79%,0.62%,0.50%,2.35%,1.95%,,
4458,Pettigrew,7958,60.73%,30.77%,0.45%,2.51%,3.20%,2.32%,,
4491,Picard,7898,87.52%,2.24%,0.84%,2.17%,1.90%,5.34%,,
4505,Prentice,7874,83.79%,9.17%,0.65%,1.05%,2.27%,3.06%,,
4549,Pitman,7789,88.64%,5.89%,0.69%,0.82%,1.68%,2.27%,,
4558,Poling,7779,94.37%,0.36%,0.77%,0.35%,1.26%,2.89%,,
4581,Poland,7746,90.68%,4.09%,0.77%,0.45%,1.59%,2.41%,,
4583,Plante,7744,93.12%,1.28%,0.43%,1.06%,1.46%,2.66%,,
4622,Pyles,7677,82.23%,12.60%,0.66%,0.40%,2.21%,1.89%,,
4642,Pastor,7647,43.40%,1.78%,6.71%,0.09%,1.01%,47.01%,,
4645,Pang,7642,3.93%,0.48%,86.97%,0.00%,6.23%,2.39%,,
4687,Pearl,7570,83.79%,9.92%,1.11%,0.44%,2.06%,2.68%,,
4711,Puentes,7528,4.42%,0.24%,0.61%,0.20%,0.21%,94.31%,,
4724,Parikh,7506,2.30%,0.19%,94.66%,0.28%,2.21%,0.36%,,
4732,Peeples,7499,59.65%,35.91%,0.40%,0.29%,1.92%,1.83%,,
4734,Pogue,7493,81.01%,12.18%,0.61%,1.15%,1.94%,3.11%,,
4741,Palomo,7478,6.42%,0.45%,4.21%,0.25%,0.82%,87.84%,,
4746,Piatt,7463,89.48%,4.94%,0.83%,0.66%,1.57%,2.52%,,
4751,Posada,7454,5.58%,0.25%,0.66%,0.19%,0.28%,93.04%,,
4752,Pointer,7453,47.19%,47.36%,0.24%,0.44%,3.09%,1.68%,,
4755,Pizarro,7446,6.33%,2.39%,5.88%,0.13%,0.48%,84.78%,,
4781,Pellegrino,7398,94.65%,0.24%,0.39%,0.19%,0.88%,3.65%,,
4791,Pleasant,7378,36.53%,54.92%,0.33%,1.61%,3.56%,3.05%,,
4792,Pomeroy,7377,93.99%,0.33%,0.88%,0.94%,1.74%,2.13%,,
4800,Pinson,7362,75.70%,17.14%,0.69%,0.56%,1.96%,3.95%,,
4807,Pettis,7354,52.96%,40.29%,0.24%,0.33%,2.86%,3.32%,,
4818,Pippin,7326,90.35%,4.16%,0.45%,0.76%,2.05%,2.22%,,
4862,Place,7251,93.41%,1.14%,0.87%,0.40%,1.64%,2.54%,,
4908,Pride,7172,41.06%,52.84%,0.31%,0.45%,3.12%,2.22%,,
