Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic,,
14799,Puri,2005,9.13%,(S),84.59%,(S),3.79%,2.09%,,
14814,Platero,2002,3.25%,(S),(S),43.06%,1.50%,51.45%,,
14842,Pfau,1996,95.14%,(S),1.50%,(S),0.90%,2.20%,,
14866,Pinales,1992,3.71%,0.60%,(S),(S),(S),95.43%,,
14933,Picou,1982,75.93%,17.76%,0.86%,0.86%,1.97%,2.62%,,
14957,Prisco,1977,92.56%,(S),1.06%,(S),0.56%,5.31%,,
15005,Pangilinan,1968,2.74%,(S),89.58%,(S),5.28%,2.18%,,
15005,Pilla,1968,81.55%,(S),8.99%,(S),1.32%,7.37%,,
15020,Passarelli,1966,92.57%,(S),0.51%,(S),1.22%,5.29%,,
15048,Premo,1963,91.80%,1.94%,0.61%,1.99%,2.45%,1.22%,,
15090,Palombo,1955,92.99%,(S),0.82%,(S),0.51%,5.27%,,
15127,Parman,1949,87.43%,2.46%,5.03%,1.08%,1.64%,2.36%,,
15151,Plancarte,1946,2.52%,(S),(S),(S),0.00%,97.33%,,
15163,Pillai,1944,4.12%,0.72%,90.74%,0.26%,3.24%,0.93%,,
15183,Paek,1940,16.65%,1.60%,78.81%,(S),2.22%,(S),,
15232,Piceno,1932,3.05%,(S),(S),0.52%,0.47%,95.55%,,
15238,Prettyman,1930,89.79%,5.34%,0.36%,0.62%,1.50%,2.38%,,
15289,Panella,1920,89.74%,0.42%,0.89%,0.00%,1.09%,7.86%,,
15309,Pleasants,1917,68.91%,26.71%,(S),(S),1.72%,2.09%,,
15325,Priestley,1914,77.17%,17.40%,(S),(S),2.25%,1.88%,,
15370,Pappalardo,1908,93.71%,(S),1.36%,(S),0.58%,4.30%,,
15380,Pintor,1907,7.60%,(S),6.87%,(S),0.89%,84.22%,,
15409,Popoca,1901,2.37%,(S),(S),(S),(S),97.16%,,
15418,Pulaski,1900,93.42%,(S),0.84%,(S),1.11%,4.11%,,
15456,Petrovic,1895,96.09%,(S),0.32%,(S),0.79%,2.48%,,
15477,Parga,1892,9.73%,(S),0.48%,(S),0.42%,89.27%,,
15483,Penson,1891,37.23%,51.24%,2.27%,0.74%,3.23%,5.29%,,
15541,Pomerantz,1883,95.59%,0.32%,0.53%,0.00%,0.64%,2.92%,,
15579,Pech,1877,27.81%,1.55%,24.56%,(S),(S),44.54%,,
15589,Pavão,1876,84.75%,(S),2.99%,(S),7.52%,4.05%,,
15595,Puffer,1875,93.55%,0.37%,0.75%,1.71%,2.24%,1.39%,,
15606,Pines,1873,57.07%,33.58%,1.76%,(S),(S),6.35%,,
15658,Paradiso,1865,90.19%,(S),0.70%,(S),1.13%,7.61%,,
15700,Pirkle,1858,94.62%,1.24%,0.65%,0.59%,1.29%,1.61%,,
15748,Pullum,1851,52.73%,41.06%,0.59%,0.32%,2.81%,2.49%,,
15771,Pettitt,1848,92.97%,1.95%,0.60%,0.27%,1.62%,2.60%,,
15771,Prock,1848,92.80%,0.76%,0.81%,1.46%,2.33%,1.84%,,
15806,Prudencio,1842,6.30%,(S),8.96%,(S),1.30%,82.79%,,
15854,Pérez-López,1836,1.63%,0.33%,(S),(S),0.00%,97.77%,,
15912,Paramore,1826,67.69%,27.11%,0.49%,0.27%,1.64%,2.79%,,
15912,Prue,1826,81.65%,9.36%,0.82%,4.98%,1.92%,1.26%,,
15938,Patillo,1823,30.44%,60.45%,1.04%,0.27%,2.58%,5.21%,,
15938,Prophet,1823,41.03%,52.39%,0.27%,0.66%,2.74%,2.91%,,
15947,Poisson,1822,92.81%,3.13%,(S),(S),1.92%,1.76%,,
15964,Pleitez,1819,2.75%,(S),(S),(S),(S),96.59%,,
15985,Peasley,1816,90.47%,3.30%,0.55%,1.54%,2.53%,1.60%,,
16004,Portnoy,1814,95.87%,(S),0.55%,(S),0.66%,2.48%,,
16018,Provencio,1812,14.57%,(S),0.55%,0.39%,(S),84.11%,,
16108,Parshall,1797,91.99%,0.83%,1.89%,1.11%,1.95%,2.23%,,
16125,Permenter,1795,81.73%,13.20%,0.39%,0.61%,1.34%,2.73%,,
16136,Piner,1793,83.55%,10.21%,0.28%,0.45%,1.95%,3.57%,,
16188,Pidgeon,1785,89.64%,4.09%,0.28%,2.52%,2.07%,1.40%,,
16191,Paolucci,1784,94.84%,0.28%,0.39%,0.00%,1.29%,3.20%,,
16195,Pincus,1783,95.18%,(S),0.73%,(S),1.12%,2.64%,,
16238,Purtell,1778,94.54%,0.73%,0.79%,0.39%,0.73%,2.81%,,
16250,Paone,1776,95.89%,(S),0.45%,(S),0.62%,2.82%,,
16250,Penning,1776,94.65%,0.62%,0.45%,0.28%,1.46%,2.53%,,
16254,Piro,1775,89.35%,0.85%,0.90%,1.13%,1.69%,6.08%,,
16273,Penwell,1772,95.99%,0.62%,0.28%,0.56%,1.35%,1.19%,,
16313,Pauling,1767,52.69%,41.71%,(S),(S),2.04%,2.49%,,
16315,Panchal,1766,1.81%,(S),95.02%,(S),1.76%,0.74%,,
16315,Peaslee,1766,95.13%,0.28%,0.51%,0.45%,1.98%,1.64%,,
16343,Pawlik,1763,94.44%,(S),0.62%,(S),0.91%,3.35%,,
16349,Palen,1762,87.85%,1.25%,2.16%,0.40%,1.76%,6.58%,,
16362,Philipp,1760,93.47%,(S),1.42%,(S),1.82%,1.93%,,
16370,Ptak,1759,96.53%,(S),0.34%,(S),0.91%,1.88%,,
16395,Pallarés,1755,5.01%,(S),(S),0.28%,(S),94.25%,,
16407,Patron,1754,19.21%,7.64%,9.52%,(S),(S),61.97%,,
16415,Pietsch,1753,94.24%,(S),0.80%,(S),1.08%,3.42%,,
16481,Pillar,1743,61.68%,8.84%,23.81%,(S),(S),3.38%,,
16481,Pizana,1743,4.93%,0.75%,0.75%,0.40%,0.52%,92.66%,,
16502,Pica,1741,78.29%,0.40%,3.22%,0.52%,0.46%,17.12%,,
16509,Phaneuf,1740,95.80%,0.52%,(S),(S),0.98%,2.13%,,
16509,Ponce,de,León,1740,10.29%,0.75%,4.25%,(S),(S),84.20%
16555,Perrigo,1734,94.06%,(S),0.92%,(S),1.67%,2.31%,,
16560,Pullman,1733,86.90%,7.79%,(S),(S),1.56%,2.48%,,
16586,Poblete,1729,5.38%,0.29%,59.28%,0.00%,3.12%,31.93%,,
16593,Popov,1728,97.22%,(S),0.64%,(S),0.69%,1.27%,,
16616,Pehrson,1726,92.87%,2.95%,0.41%,0.58%,1.16%,2.03%,,
16616,Penna,1726,84.36%,1.16%,1.33%,0.41%,1.97%,10.78%,,
16630,Phalen,1724,93.62%,0.41%,0.75%,0.35%,1.04%,3.83%,,
16644,Paolini,1721,93.32%,(S),0.41%,(S),0.70%,5.35%,,
16644,Pinard,1721,85.12%,8.13%,0.52%,0.93%,2.09%,3.20%,,
16720,Parenti,1711,94.16%,0.82%,(S),(S),0.94%,3.39%,,
16743,Petti,1708,92.92%,1.41%,(S),(S),1.00%,3.63%,,
16755,Pandey,1706,2.75%,0.47%,93.79%,0.59%,1.88%,0.53%,,
16765,Procter,1704,80.75%,12.85%,0.88%,0.53%,2.35%,2.64%,,
16789,Piggott,1701,72.96%,21.99%,0.47%,0.71%,1.65%,2.23%,,
16809,Porcaro,1698,82.27%,(S),(S),0.35%,0.77%,16.02%,,
16809,Pozos,1698,2.65%,(S),(S),0.35%,(S),96.41%,,
16833,Philbin,1696,96.17%,(S),0.53%,(S),1.24%,1.83%,,
16909,Pinner,1684,82.13%,12.59%,0.30%,0.59%,1.07%,3.33%,,
16909,Pressman,1684,95.90%,0.77%,(S),(S),0.95%,1.78%,,
16926,Province,1681,90.30%,3.81%,0.65%,1.19%,1.84%,2.20%,,
16944,Pico,1678,28.84%,0.42%,8.46%,1.91%,2.68%,57.69%,,
16975,Purdue,1674,81.42%,13.80%,0.42%,0.36%,2.21%,1.79%,,
16984,Puerto,1673,5.20%,1.49%,3.47%,1.55%,0.42%,87.87%,,
16993,Poll,1672,87.20%,1.73%,4.37%,0.36%,1.14%,5.20%,,
16993,Pyron,1672,83.43%,12.08%,(S),(S),1.73%,1.79%,,
17033,Pippen,1668,54.86%,41.01%,(S),(S),1.50%,2.40%,,
17040,Peed,1667,84.28%,10.02%,0.72%,0.48%,1.26%,3.24%,,
17047,Prill,1666,94.00%,0.66%,0.72%,0.30%,1.98%,2.34%,,
17087,Philbrook,1661,94.94%,(S),1.02%,(S),1.38%,2.17%,,
17087,Pigeon,1661,81.70%,(S),(S),10.54%,3.25%,2.83%,,
17104,Piekarski,1659,97.35%,(S),(S),0.36%,0.78%,1.27%,,
17104,Prioleau,1659,3.92%,91.74%,(S),(S),1.87%,2.17%,,
17111,Pomerleau,1658,95.48%,(S),0.66%,(S),1.63%,1.75%,,
17142,Provo,1653,78.40%,17.00%,0.42%,0.85%,1.51%,1.81%,,
17169,Perone,1650,92.79%,1.27%,(S),(S),0.91%,4.30%,,
17176,Prall,1649,92.12%,2.00%,0.55%,0.55%,2.06%,2.73%,,
17182,Profit,1648,29.13%,66.38%,(S),(S),1.76%,2.49%,,
17258,Prewett,1641,93.36%,0.43%,0.30%,2.07%,2.32%,1.52%,,
17290,Paschke,1637,96.52%,(S),0.67%,(S),0.43%,2.08%,,
17311,Panetta,1635,94.80%,(S),(S),(S),0.80%,4.10%,,
17311,Pierro,1635,88.20%,5.26%,(S),(S),1.22%,4.89%,,
17323,Palomera,1632,1.53%,0.00%,0.37%,(S),(S),97.79%,,
17323,Peffer,1632,95.47%,(S),0.86%,(S),1.78%,1.59%,,
17359,Porcelli,1627,92.38%,0.61%,0.55%,0.00%,1.04%,5.41%,,
17367,Printz,1626,95.20%,0.86%,(S),(S),1.29%,1.66%,,
17398,Pew,1622,84.16%,11.41%,(S),(S),1.48%,1.79%,,
17406,Patchen,1621,93.09%,0.37%,0.86%,0.74%,2.28%,2.65%,,
17406,Portman,1621,90.38%,3.82%,0.99%,1.23%,2.04%,1.54%,,
17419,Pickrell,1620,94.44%,(S),1.23%,(S),1.17%,2.35%,,
17441,Pentz,1617,96.17%,(S),(S),(S),1.11%,2.16%,,
17447,Parrino,1616,83.91%,3.22%,2.85%,(S),(S),9.10%,,
17455,Peinado,1615,6.19%,0.43%,0.31%,(S),(S),92.82%,,
17502,Perlmutter,1610,95.65%,(S),0.87%,(S),1.37%,1.86%,,
17559,Pisciotta,1602,94.82%,0.44%,(S),(S),1.06%,3.06%,,
17586,Pellot,1598,13.20%,5.07%,(S),(S),0.81%,80.73%,,
17586,Ploof,1598,96.50%,(S),0.50%,(S),1.06%,1.63%,,
17613,Philipps,1595,88.21%,6.46%,(S),(S),1.63%,2.57%,,
17625,Pupo,1594,26.47%,1.38%,(S),(S),0.31%,71.46%,,
17639,Popławski,1593,95.23%,(S),0.31%,(S),0.82%,3.26%,,
17651,Palko,1592,95.23%,0.57%,0.38%,0.44%,1.26%,2.14%,,
17651,Pelley,1592,91.21%,2.01%,0.50%,0.82%,1.95%,3.52%,,
17682,Pattee,1587,90.61%,1.39%,0.82%,0.38%,3.28%,3.53%,,
17691,Pangburn,1586,95.27%,0.95%,(S),(S),0.95%,2.08%,,
17699,Pafford,1585,94.07%,(S),0.50%,(S),2.46%,2.33%,,
17709,Papineau,1584,92.68%,(S),(S),3.22%,2.65%,1.07%,,
17709,Poitras,1584,93.88%,(S),(S),2.21%,1.70%,1.64%,,
17717,Pals,1583,82.75%,(S),5.87%,(S),1.39%,9.35%,,
17752,Portales,1578,5.58%,(S),(S),(S),(S),93.85%,,
17752,Prinz,1578,93.28%,(S),0.70%,(S),1.77%,3.87%,,
17798,Piland,1573,93.20%,1.14%,0.57%,0.89%,2.16%,2.03%,,
17809,Pedrosa,1572,23.35%,2.29%,8.52%,0.00%,0.64%,65.20%,,
17823,Parkey,1570,77.71%,11.85%,0.38%,2.93%,4.39%,2.74%,,
17823,Peplinski,1570,95.73%,(S),0.32%,(S),0.83%,2.68%,,
17851,Pippins,1567,34.46%,58.58%,0.32%,0.32%,3.32%,3.00%,,
17896,Panzer,1562,96.09%,(S),0.45%,(S),1.60%,1.34%,,
17896,Petras,1562,94.30%,(S),2.43%,(S),1.28%,1.73%,,
17896,Pettey,1562,88.86%,6.08%,0.51%,1.22%,1.79%,1.54%,,
17911,Pickell,1561,92.38%,0.70%,0.77%,0.90%,2.31%,2.95%,,
17911,Prahl,1561,94.43%,1.15%,0.90%,0.70%,0.77%,2.05%,,
17921,Pop,1560,84.74%,1.79%,1.47%,(S),(S),11.73%,,
17927,Perez-Garcia,1559,1.48%,(S),(S),0.00%,(S),98.08%,,
17942,Paglia,1558,94.42%,(S),1.09%,(S),0.83%,3.15%,,
17970,Prestridge,1555,95.05%,(S),(S),0.39%,1.93%,2.19%,,
17980,Pérez-Pérez,1553,1.22%,(S),(S),(S),0.00%,98.39%,,
17980,Plath,1553,92.59%,(S),0.77%,(S),1.87%,4.25%,,
18057,Pilarski,1544,96.57%,(S),0.52%,(S),0.78%,1.88%,,
18078,Papke,1542,94.16%,(S),0.91%,(S),1.49%,3.18%,,
18078,Perino,1542,90.86%,(S),2.20%,(S),1.10%,5.25%,,
18106,Paula,1538,32.05%,3.97%,2.93%,0.00%,0.72%,60.34%,,
18128,Pascucci,1536,95.57%,0.65%,(S),(S),0.91%,2.28%,,
18166,Pantano,1532,94.13%,(S),1.11%,(S),0.52%,4.05%,,
18184,Purdom,1530,87.78%,5.10%,0.33%,1.31%,2.03%,3.46%,,
18208,Panter,1528,93.26%,0.52%,0.52%,1.64%,1.96%,2.09%,,
18227,Pasion,1526,5.77%,(S),76.15%,(S),9.90%,7.86%,,
18227,Pribble,1526,92.99%,0.33%,0.66%,1.31%,1.57%,3.15%,,
18262,Palmatier,1521,93.89%,0.66%,(S),(S),1.18%,3.62%,,
18296,Pospisil,1517,97.82%,(S),0.40%,(S),0.66%,0.73%,,
18337,Prada,1511,25.28%,(S),1.39%,(S),(S),72.73%,,
18366,Pritts,1508,94.96%,(S),0.53%,(S),1.06%,2.85%,,
18378,Prohaska,1507,96.75%,(S),0.46%,(S),0.60%,2.12%,,
18401,Paley,1505,89.50%,6.05%,(S),(S),0.80%,2.92%,,
18401,Panico,1505,94.55%,0.47%,(S),(S),0.86%,4.05%,,
18401,Parlier,1505,96.61%,0.73%,0.33%,0.33%,0.73%,1.26%,,
18411,Paylor,1504,42.02%,52.99%,(S),(S),2.79%,1.80%,,
18411,Pinnix,1504,46.14%,47.54%,(S),(S),3.32%,2.19%,,
18423,Pilot,1503,67.66%,23.95%,0.67%,1.13%,2.00%,4.59%,,
18431,Poulton,1502,95.07%,1.07%,0.53%,0.73%,1.33%,1.26%,,
18474,Partington,1497,96.59%,0.67%,(S),(S),1.07%,1.00%,,
18478,Petre,1496,94.79%,1.07%,(S),(S),0.87%,2.27%,,
18511,Prime,1491,69.42%,23.61%,(S),(S),2.21%,3.76%,,
18550,Prom,1487,44.86%,(S),47.21%,(S),2.56%,3.16%,,
18584,Pough,1483,9.64%,85.84%,(S),(S),2.09%,1.55%,,
18584,Pugsley,1483,94.88%,2.02%,(S),(S),0.74%,1.75%,,
18622,Pawloski,1478,94.25%,(S),0.41%,(S),1.29%,3.86%,,
18622,Peavler,1478,93.64%,0.61%,0.68%,1.08%,1.35%,2.64%,,
18676,Pooley,1472,90.69%,1.36%,0.61%,1.22%,2.58%,3.53%,,
18676,Purpura,1472,94.57%,(S),1.36%,(S),0.75%,2.85%,,
18703,Predmore,1469,95.92%,(S),0.34%,(S),1.43%,1.70%,,
18715,Pasko,1468,96.12%,(S),0.34%,(S),0.82%,2.32%,,
18734,Preiss,1465,94.54%,(S),0.48%,(S),0.89%,4.03%,,
18751,Paredez,1463,7.04%,(S),0.48%,(S),(S),92.00%,,
18766,Porta,1461,76.45%,(S),0.62%,(S),1.10%,21.01%,,
18778,Pavlick,1460,96.58%,(S),0.48%,(S),0.41%,2.33%,,
18778,Pazos,1460,14.32%,(S),(S),(S),(S),84.79%,,
18786,Peifer,1459,95.68%,0.55%,(S),(S),1.17%,1.99%,,
18808,Pariseau,1456,96.63%,(S),(S),0.41%,1.30%,1.30%,,
18858,Pettry,1450,94.34%,0.69%,0.41%,0.69%,1.72%,2.14%,,
18867,Petrosyan,1449,95.58%,(S),(S),0.00%,3.11%,0.97%,,
18928,Pacifico,1442,86.34%,(S),8.11%,(S),0.90%,4.51%,,
18971,Pen,1438,12.45%,2.02%,80.46%,0.00%,2.09%,2.99%,,
18977,Poyner,1437,87.75%,7.65%,(S),(S),1.32%,2.99%,,
18977,Propes,1437,87.27%,8.56%,(S),(S),1.74%,1.67%,,
19019,Parkhill,1432,94.13%,(S),0.91%,(S),1.26%,2.58%,,
19027,Pizzi,1431,92.52%,(S),0.63%,0.00%,(S),6.57%,,
19041,Pavey,1430,95.38%,(S),0.84%,(S),0.98%,1.96%,,
19041,Pazmiño,1430,8.46%,0.63%,(S),0.00%,(S),90.63%,,
19097,Porath,1425,94.60%,(S),(S),0.63%,1.26%,2.88%,,
19114,Ponds,1423,38.58%,52.85%,0.35%,0.70%,3.23%,4.29%,,
19138,Padden,1420,96.20%,(S),0.99%,(S),0.99%,1.48%,,
19145,Poarch,1419,90.27%,5.57%,0.70%,0.35%,1.13%,1.97%,,
19145,Pon,1419,12.12%,1.06%,73.01%,0.00%,5.14%,8.67%,,
19152,Pestana,1418,58.74%,2.19%,5.57%,0.42%,4.37%,28.70%,,
19152,Pharris,1418,86.74%,8.18%,0.49%,0.42%,1.41%,2.75%,,
19166,Pesek,1417,94.71%,(S),0.78%,(S),0.99%,2.75%,,
19210,Perine,1413,63.69%,29.02%,0.71%,0.50%,2.48%,3.61%,,
19210,Prevatt,1413,94.41%,1.49%,0.42%,0.42%,0.99%,2.26%,,
19229,Portilla,1411,8.65%,0.71%,1.91%,0.00%,0.43%,88.31%,,
19234,Passalacqua,1410,90.43%,(S),0.50%,(S),0.92%,8.09%,,
19242,Paluch,1409,97.16%,(S),0.64%,(S),1.14%,0.78%,,
19275,Parten,1406,95.16%,1.07%,0.36%,0.71%,1.00%,1.71%,,
19296,Pile,1403,78.90%,13.97%,1.92%,(S),(S),3.56%,,
19306,Pasha,1402,20.33%,25.11%,47.43%,(S),4.64%,(S),,
19321,Pankow,1401,95.65%,(S),0.79%,(S),1.71%,1.28%,,
19334,Philyaw,1400,78.36%,17.36%,0.43%,0.64%,1.50%,1.71%,,
19341,Pfannenstiel,1399,97.93%,(S),(S),0.00%,0.36%,1.36%,,
19372,Peets,1396,79.73%,11.75%,0.36%,0.57%,1.93%,5.66%,,
19372,Pérez-Hernández,1396,1.00%,(S),(S),(S),(S),98.50%,,
19379,Persad,1395,9.61%,34.55%,35.48%,0.79%,14.27%,5.30%,,
19441,Poage,1390,92.01%,4.75%,0.36%,0.43%,1.65%,0.79%,,
19469,Paulo,1388,54.03%,5.33%,25.07%,0.43%,7.35%,7.78%,,
19489,Pulsifer,1386,91.49%,0.43%,0.51%,1.95%,2.38%,3.25%,,
19513,Pomales,1384,6.79%,1.95%,0.43%,(S),(S),90.68%,,
19538,Pittard,1382,84.30%,11.58%,(S),(S),1.74%,1.81%,,
19559,Pendarvis,1380,68.91%,26.09%,(S),(S),2.17%,1.88%,,
19567,Prude,1379,21.90%,71.79%,(S),(S),4.06%,1.81%,,
19590,Pareja,1377,7.99%,0.36%,13.14%,0.00%,1.53%,76.98%,,
19614,Pedrick,1375,96.65%,0.87%,0.36%,0.36%,1.02%,0.73%,,
19614,Pitkin,1375,92.44%,2.40%,(S),(S),1.53%,2.62%,,
19628,Panganiban,1374,4.73%,(S),87.12%,(S),4.08%,3.49%,,
19646,Parchman,1372,60.28%,35.64%,(S),(S),1.90%,1.68%,,
19654,Punch,1371,64.55%,31.80%,0.51%,0.36%,1.46%,1.31%,,
19703,Piel,1367,93.71%,0.66%,0.66%,1.68%,0.66%,2.63%,,
19703,Plaisted,1367,95.03%,0.44%,0.66%,0.37%,1.32%,2.19%,,
19716,Pliego,1366,6.30%,(S),(S),(S),(S),93.27%,,
19755,Pane,1363,83.93%,3.37%,4.48%,0.81%,1.39%,6.02%,,
19774,Palo,1361,79.65%,0.96%,12.56%,0.44%,1.03%,5.36%,,
19796,Petzold,1359,93.97%,(S),0.96%,(S),1.18%,3.31%,,
19823,Puerta,1356,6.78%,(S),0.00%,(S),0.00%,92.63%,,
19834,Phương,1355,0.81%,(S),97.56%,(S),1.03%,0.37%,,
19834,Picklesimer,1355,95.87%,0.52%,0.37%,0.52%,1.85%,0.89%,,
19865,Plouffe,1353,92.68%,(S),(S),2.29%,1.18%,3.10%,,
19865,Poulter,1353,93.05%,0.59%,0.52%,0.00%,1.63%,4.21%,,
